instance,m,mu,eps,rule,seed,qualIter,qualPasses,certIter,certType,peakSamp,ratio
hiddenPM-2000,639042,2000,0.05,fixed2,5,6,19,199,R,160841,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,6,6,19,179,R,160682,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,7,6,19,-1,-,160453,0.999500
hiddenPM-2000,639042,2000,0.05,fixed2,8,6,19,158,R,160413,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,9,6,19,-1,-,160623,0.999500
hiddenPM-2000,639042,2000,0.05,adaptive,0,3,10,7,R,159242,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,1,3,10,5,R,159411,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,2,3,10,7,R,159382,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,3,3,10,7,R,159273,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,4,3,10,7,R,160107,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,5,3,10,7,R,160841,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,6,3,10,6,R,160538,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,7,3,10,7,R,160453,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,8,3,10,6,R,160409,1.000000
hiddenPM-2000,639042,2000,0.05,adaptive,9,3,10,5,R,160136,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,0,8,25,20,R,160515,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,1,8,25,18,R,160596,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,2,8,25,20,R,160262,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,3,8,25,23,R,160081,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,4,8,25,21,R,160549,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,5,8,25,22,R,160729,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,6,8,25,25,R,160428,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,7,8,25,21,R,160728,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,8,8,25,22,R,160201,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,9,8,25,21,R,160653,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,0,2,7,5,R,160323,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,1,2,7,5,R,160596,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,2,2,7,4,R,159224,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,3,2,7,5,R,160081,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,4,2,7,4,R,160241,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,5,2,7,5,R,160058,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,6,2,7,5,R,160428,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,7,2,7,5,R,159569,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,8,2,7,4,R,159742,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,9,2,7,5,R,159263,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,0,9,28,23,R,320688,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,1,8,25,20,R,320590,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,2,9,28,20,R,320294,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,3,9,28,20,R,320571,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,4,9,28,23,R,320786,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,5,9,28,20,R,320254,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,6,9,28,22,R,320393,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,7,9,28,21,R,320386,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,8,9,28,23,R,319838,1.000000
hiddenPM-4000,1905460,4000,0.05,fixed2,9,9,28,21,R,320724,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,0,3,10,6,R,320688,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,1,3,10,6,R,320516,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,2,3,10,6,R,319603,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,3,3,10,6,R,320571,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,4,3,10,5,R,320743,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,5,3,10,6,R,320017,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,6,3,10,6,R,320393,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,7,3,10,6,R,319470,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,8,3,10,6,R,319832,1.000000
hiddenPM-4000,1905460,4000,0.05,adaptive,9,3,10,6,R,318974,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,0,3,10,176,R,164466,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,1,3,10,200,R,164322,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,2,3,10,185,R,164333,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,3,3,10,-1,-,164478,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,4,4,13,-1,-,164262,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,5,3,10,-1,-,164300,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,6,3,10,-1,-,164445,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,7,3,10,199,R,164281,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,8,4,13,155,R,164429,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,9,3,10,173,R,164370,1.000000
RMAT-12-1M,1000000,4047,0.10,adaptive,0,3,10,38,P,164449,0.995552
RMAT-12-1M,1000000,4047,0.10,adaptive,1,2,7,39,P,163018,0.995058
RMAT-12-1M,1000000,4047,0.10,adaptive,2,2,7,39,P,163963,0.993328
RMAT-12-1M,1000000,4047,0.10,adaptive,3,2,7,39,P,164270,0.994564
RMAT-12-1M,1000000,4047,0.10,adaptive,4,2,7,39,P,163686,0.991846
RMAT-12-1M,1000000,4047,0.10,adaptive,5,2,7,39,P,163397,0.992340
RMAT-12-1M,1000000,4047,0.10,adaptive,6,2,7,39,P,163323,0.993575
RMAT-12-1M,1000000,4047,0.10,adaptive,7,2,7,39,P,163514,0.991105
RMAT-12-1M,1000000,4047,0.10,adaptive,8,2,7,39,P,164066,0.993823
RMAT-12-1M,1000000,4047,0.10,adaptive,9,2,7,39,P,163507,0.993081
RMAT-12-1M,1000000,4047,0.05,fixed2,0,1,4,132,R,328469,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,1,1,4,121,R,328269,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,2,1,4,95,R,328371,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,3,1,4,123,R,328562,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,4,1,4,108,R,328209,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,5,1,4,133,R,328048,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,6,1,4,125,R,328700,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,7,1,4,146,R,328500,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,8,1,4,133,R,328509,1.000000
RMAT-12-1M,1000000,4047,0.05,fixed2,9,1,4,139,R,328738,1.000000
RMAT-12-1M,1000000,4047,0.05,adaptive,0,1,4,64,P,328408,0.998517
RMAT-12-1M,1000000,4047,0.05,adaptive,1,1,4,65,P,326710,0.998023
RMAT-12-1M,1000000,4047,0.05,adaptive,2,1,4,62,P,327547,0.998765
RMAT-12-1M,1000000,4047,0.05,adaptive,3,1,4,60,P,327952,0.999506
RMAT-12-1M,1000000,4047,0.05,adaptive,4,1,4,65,P,327856,0.998765
RMAT-12-1M,1000000,4047,0.05,adaptive,5,1,4,64,P,327053,0.998765
RMAT-12-1M,1000000,4047,0.05,adaptive,6,1,4,65,P,327171,0.998517
RMAT-12-1M,1000000,4047,0.05,adaptive,7,1,4,65,P,327584,0.998517
RMAT-12-1M,1000000,4047,0.05,adaptive,8,1,4,65,P,328509,0.998517
RMAT-12-1M,1000000,4047,0.05,adaptive,9,1,4,63,P,327539,0.999012
ChungLu-4096,800000,4096,0.10,fixed2,0,1,4,1,R,163857,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,1,1,4,1,R,163629,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,2,1,4,1,R,164495,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,3,1,4,1,R,163604,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,4,1,4,1,R,163589,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,5,1,4,1,R,163958,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,6,1,4,1,R,163172,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,7,1,4,1,R,163582,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,8,1,4,1,R,163545,1.000000
ChungLu-4096,800000,4096,0.10,fixed2,9,1,4,1,R,163473,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,0,1,4,1,R,163857,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,1,1,4,1,R,163629,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,2,1,4,1,R,164495,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,3,1,4,1,R,163604,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,4,1,4,1,R,163589,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,5,1,4,1,R,163958,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,6,1,4,1,R,163172,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,7,1,4,1,R,163582,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,8,1,4,1,R,163545,1.000000
ChungLu-4096,800000,4096,0.10,adaptive,9,1,4,1,R,163473,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,0,1,4,1,R,327823,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,1,1,4,1,R,327301,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,2,1,4,1,R,328114,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,3,1,4,1,R,328278,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,4,1,4,1,R,327830,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,5,1,4,1,R,327407,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,6,1,4,1,R,327161,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,7,1,4,1,R,327225,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,8,1,4,1,R,327172,1.000000
ChungLu-4096,800000,4096,0.05,fixed2,9,1,4,1,R,327862,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,0,1,4,1,R,327823,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,1,1,4,1,R,327301,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,2,1,4,1,R,328114,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,3,1,4,1,R,328278,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,4,1,4,1,R,327830,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,5,1,4,1,R,327407,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,6,1,4,1,R,327161,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,7,1,4,1,R,327225,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,8,1,4,1,R,327172,1.000000
ChungLu-4096,800000,4096,0.05,adaptive,9,1,4,1,R,327862,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,0,1,4,1,R,79768,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,1,1,4,1,R,80207,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,2,1,4,1,R,80198,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,3,1,4,1,R,80338,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,4,1,4,1,R,79659,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,5,1,4,1,R,80285,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,6,1,4,1,R,80236,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,7,1,4,1,R,80194,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,8,1,4,1,R,79922,1.000000
ER-2000-d400,800034,2000,0.10,fixed2,9,1,4,1,R,80409,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,0,1,4,1,R,79768,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,1,1,4,1,R,80207,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,2,1,4,1,R,80198,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,3,1,4,1,R,80338,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,4,1,4,1,R,79659,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,5,1,4,1,R,80285,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,6,1,4,1,R,80236,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,7,1,4,1,R,80194,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,8,1,4,1,R,79922,1.000000
ER-2000-d400,800034,2000,0.10,adaptive,9,1,4,1,R,80409,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,0,1,4,1,R,159862,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,1,1,4,1,R,160480,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,2,1,4,1,R,159851,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,3,1,4,1,R,160477,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,4,1,4,1,R,159589,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,5,1,4,1,R,160211,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,6,1,4,1,R,159820,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,7,1,4,1,R,160368,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,8,1,4,1,R,160064,1.000000
ER-2000-d400,800034,2000,0.05,fixed2,9,1,4,1,R,160333,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,0,1,4,1,R,159862,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,1,1,4,1,R,160480,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,2,1,4,1,R,159851,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,3,1,4,1,R,160477,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,4,1,4,1,R,159589,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,5,1,4,1,R,160211,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,6,1,4,1,R,159820,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,7,1,4,1,R,160368,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,8,1,4,1,R,160064,1.000000
ER-2000-d400,800034,2000,0.05,adaptive,9,1,4,1,R,160333,1.000000
